X,Y,OBJECTID,EGIS_ID,REG_ID,BSTP_GEO_ID,BSTP_OPS_TCD,BSTP_EFF_DATE,BSTP_TCD,AT_STR,ON_STR,BSTP_HDG,BSTP_POS_TCD,BSTP_LDC,BSTP_MSG_TEXT,BSTP_LAT_LON_TCD,BSTP_INV_SYR_TCD,BSTP_INV_SRV_DATE,BSTP_BNH_CNT,BSTP_BST_TCD,BSTP_IFC_OWN,BSTP_HAS_BKRS,BSTP_HAS_PRS,BSTP_HAS_PVM,BSTP_HAS_PRM,BSTP_PDP_SIZE_TCD,BSTP_PDP_MTR_TCD,BSTP_PDP_OBS_TCD,BSTP_PDP_HAS_CCN,BSTP_HAS_BDR_PDP,BSTP_BDR_PDP_OBS,BSTP_SWK_WDT,BSTP_SWK_HAS_CCN,BSTP_SWK_HAS_PPC,BSTP_SWK_SLP_WVL,BSTP_SWK_OBS_TCD,BSTP_SWK_IPD_TCD,ONS_CRP_SLP,ONS_CRP,OFS_CRP,AT_STR_ABS_CRP,AT_STR_OSS_CRP,ONS_CWK,OFS_CWK,AT_STR_ABS_CWK,AT_STR_OSS_CWK,ON_STR_STS_OR_TFL,ON_STR_PDC_SGL,AT_STR_PDC_SGL,BSTP_PRK_RST_TCD,BSTP_NPK_ZNE_LTH,CNF_NPK_SNS,STR_LGT_WTN_30_FT,BSTP_HAS_LED_DSP,BSTP_ACC_RATING,BSTP_BRDG_STP,BSTP_HAS_LUM_SIGN,BSTP_HAS_PWR_SRC,METRO_ACCS_STP,BSTP_LON,BSTP_LAT,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-77.0648443221148,39.1501318333788,21,1309423,2001068,12948,PRS,1901/01/01 00:00:00+00,REV,GEORGIA AVE,SPARTAN RD,279,NEA,86' E OF 3RD DRWY,SPARTAN RD + GEORGIA AVE,,WSV,2018/09/10 10:05:25+00,0,EXM,NAPP,N,N,N,N,58U,CON,NON,Y,Y,N,4,N,N,N,NON,NON,3.4000001,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,NSG,150,N,Y,N,N,U,N,N,U,-77.064842,39.150124,BusStopPt_5886,,{DC4FA8B6-E627-49FB-85DC-CBCA5B391B6F},,,,
-77.0630113157103,39.1500608329606,22,1309422,2001067,12944,PRS,1901/01/01 00:00:00+00,UNK,BUEHLER RD,SPARTAN RD,242,NEX,UNKNOWN,SPARTAN RD + BUEHLER RD,,KFH,2012/02/07 00:00:00+00,0,UNK,NAPP,N,N,N,N,58U,CON,NON,Y,N,E,5,N,Y,Y,NON,NON,0.80000001,N,N,Y,Y,N,N,N,N,N,N,N,NSG,150,N,Y,N,Y,U,U,U,U,-77.063009,39.150053,BusStopPt_6145,,{B2626703-8DCA-4728-A4B3-6C38766CE881},,,,
-77.0574953177213,39.1496968402576,23,1309412,2001433,15592,PRS,1999/09/09 00:00:00+00,UNK,PRINCE PHILIP DR,OLNEY SANDY SPRING RD,290,NEA,UNKNOWN,OLNEY SANDY SPRING RD + PRINCE PHILIP DR,,KFH,2012/02/07 00:00:00+00,0,UNK,NAPP,N,N,N,N,58U,CON,NON,Y,N,E,9,N,Y,Y,NON,NON,5,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NPL,150,N,Y,N,Y,U,U,U,U,-77.057493,39.149689,BusStopPt_8375,,{7508F5F5-84B0-4B0F-8A2E-A62A49140376},,,,
-77.0272283010644,39.1496718355783,24,1300998,2001063,12934,PRS,1978/10/18 00:00:00+00,REV,BROOKE RD,OLNEY SANDY SPRING RD,262,FAR,W OF PKG LOT TO SANDY SPRING STORE,OLNEY SANDY SPRING RD + BROOKE RD,,KFH,2012/02/10 00:00:00+00,0,UNK,NAPP,N,N,N,N,58U,ASP,NON,N,Y,N,0,N,N,N,NON,NON,,N,Y,N,Y,N,Y,N,Y,Y,Y,N,NPL,150,N,Y,N,N,U,U,U,U,-77.027226,39.149664,BusStopPt_6432,,{7BA4BD32-BBEE-497B-A5C2-F7182E5A44D4},,,,
-77.0268363063671,39.149545833771,25,1301002,2001078,21627,PRS,1978/10/18 00:00:00+00,REV,MEETING HOUSE RD,OLNEY SANDY SPRING RD,93,NEA,UNKNOWN,OLNEY SANDY SPRING RD + MEETING HOUSE RD,,KFH,2012/02/10 00:00:00+00,0,UNK,WMAT,N,Y,Y,Y,<58,CON,NON,Y,N,E,3,Y,Y,Y,NWB,NON,4.30000019,Y,N,Y,N,Y,N,Y,N,Y,Y,N,NPL,150,N,Y,N,N,U,U,U,U,-77.026834,39.149538,BusStopPt_8625,,{75B4A35A-A591-4C9B-AACE-FD77D2EEBFF3},,,,
-77.0575343142685,39.1493948321545,26,1309410,2001106,13022,PRS,1996/12/12 00:00:00+00,UNK,PRINCE PHILIP DR,OLNEY SANDY SPRING RD,105,FAR,UNKNOWN,OLNEY SANDY SPRING RD + PRINCE PHILIP DR,,KFH,2012/02/07 00:00:00+00,0,UNK,WMAT,N,Y,N,Y,58U,CON,NON,Y,N,E,8,N,Y,Y,NON,NON,4.4000001,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NSG,150,N,Y,N,Y,U,U,U,U,-77.057532,39.149387,BusStopPt_1117,,{0028A280-E1C4-41CA-BE47-C821309457E4},,,,
-77.0127263020119,39.1494018367995,27,1300996,2001061,12930,PRS,1960/04/04 00:00:00+00,REV,NEW HAMPSHIRE AVE,OLNEY SANDY SPRING RD,266,FAR,E OF ENTR TO S/C,OLNEY SANDY SPRING RD + NEW HAMPSHIRE AVE,,WSV,2018/09/04 09:07:29+00,0,EXM,NAPP,N,N,N,N,58U,CON,NON,Y,Y,N,4,Y,Y,Y,NON,NON,1.60000002,N,Y,N,N,N,N,N,N,Y,N,N,NSG,150,N,N,N,N,U,N,N,U,-77.012724,39.149394,BusStopPt_10247,,{34336C5C-83DE-49BE-8835-F63CDBC0AD66},,,,
-77.0149163063118,39.149302834283,28,1300997,2001062,12931,PRS,1994/07/14 00:00:00+00,REV,ASHTON CLUB WAY,OLNEY SANDY SPRING RD,265,NEA,@ E END OF CATCH BASIN,OLNEY SANDY SPRING RD + ASHTON CLUB WAY,,WSV,2018/09/10 10:58:55+00,0,EXM,NAPP,N,N,N,N,58U,CON,NON,Y,N,E,4,N,Y,Y,NON,NON,3,Y,N,Y,Y,N,N,N,N,N,N,N,NSG,150,N,Y,N,N,U,N,N,U,-77.014914,39.149295,BusStopPt_7451,,{85F0B9E1-025B-41C5-936B-BF95FB8F3206},,,,
-77.0137293059868,39.149235834632,29,1301006,2001082,12966,PRS,1986/08/31 00:00:00+00,REV,PORTER RD,OLNEY SANDY SPRING RD,86,NEA,@ UTILITY POLE ON CORNER,OLNEY SANDY SPRING RD + PORTER RD,,WSV,2018/09/10 11:06:50+00,0,EXM,NAPP,N,N,N,N,SWK,EXM,EXM,E,N,E,4,Y,Y,Y,NON,NON,4.0999999,N,N,Y,N,N,N,N,N,N,N,N,NPL,150,N,N,N,N,U,N,N,U,-77.013727,39.149228,BusStopPt_2267,,{29BA2907-209A-4E89-82DB-FDBC9E136219},,,,
-77.0152703057614,39.1491388364074,30,1301005,2001081,12965,PRS,1994/07/14 00:00:00+00,REV,HIDDEN GARDEN LN,OLNEY SANDY SPRING RD,86,NEA,UNKNOWN,OLNEY SANDY SPRING RD + HIDDEN GARDEN LN,,WSV,2018/09/10 11:02:17+00,1,FRE,NAPP,N,N,N,N,58U,CON,NON,Y,N,E,5,N,Y,Y,NON,NON,3.0999999,Y,N,Y,N,N,N,N,N,N,N,N,NPL,150,N,Y,N,N,U,N,N,U,-77.015268,39.149131,BusStopPt_613,,{95C18E38-988A-49F7-9C86-526057440005},,,,
-77.019479309341,39.1490958395258,31,1301009,2001427,15586,PRS,1996/12/12 00:00:00+00,UNK,SHERWOOD HIGH SCHOOL,OLNEY SANDY SPRING RD,267,MID,270' W OF P P #794479-6017 @ XWALK,OLNEY SANDY SPRING RD + SHERWOOD HIGH SCHOOL,,WSV,2018/09/10 10:36:14+00,0,EXM,NAPP,N,N,N,N,58U,CON,NON,Y,N,E,5,Y,Y,Y,NON,NON,0,N,N,E,Y,Y,N,E,Y,N,N,N,NSG,150,N,Y,N,U,U,N,N,U,-77.019477,39.149088,BusStopPt_5362,,{294940C9-3BE9-4806-AD32-9E5335E2BD3C},,,,
