OBJECTID,stop_id,stop_code,stop_name,stop_desc,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
18428,101044,101044,ATLANTA STUDENT MOVEMENT BLVD @ JAMES P BRAWLEY DR SW,,,,,,,
18429,101046,101046,ATLANTA STUDENT MOVEMENT BLVD @ MILTON ST SW,,,,,,,
18430,101069,101069,MARTIN L KING JR DR @ JOSEPH E LOWERY BLVD,,,,,,,
18431,101092,101092,WHITEHALL ST SW @ SPRING ST SW,,,,,,,
18432,101096,101096,WHITEHALL ST SW @ TED TURNER DR SW,,,,,,,
18433,101098,101098,WHITEHALL ST SW@385,,,,,,,
18434,101100,101100,WHITEHALL ST SW@400,,,,,,,
18435,101104,101104,WHITEHALL ST SW@WHITEHALL TERR SW,,,,,,,
18436,101108,101108,MCDANIEL ST SW @ FULTON ST SW,,,,,,,
18437,101110,101110,WHITEHALL ST SW@WHITEHALL TER SW,,,,,,,
18438,101126,101126,PETERS ST SW @ HAYNES ST SW,,,,,,,
18439,101133,101133,MARTIN L KING JR DR NW @ PASCHAL BLVD SW,,,,,,,
18440,101134,101134,MARTIN L KING JR DR NW @ GRIFFIN ST NW,,,,,,,
18441,101135,101135,NORTHSIDE DR @ LARKIN ST,,,,,,,
18442,101137,101137,NORTHSIDE DR SW @ GREENSFERRY AVE SW,,,,,,,
18443,101139,101139,MARTIN L KING JR DR @ PASCHAL BLVD SW,,,,,,,
18444,101144,101144,MARTIN L KING JR DR @ SUNSET AVE,,,,,,,
18445,101156,101156,NORTHSIDE DR SW @ MITCHELL ST SW,,,,,,,
18446,101162,101162,NORTHSIDE DR SW @ CHAPEL ST SW,,,,,,,
18447,101165,101165,NORTHSIDE DR SW @ ATLANTA STUDENT MOVEMENT BLVD SW,,,,,,,
18448,101166,101166,NORTHSIDE DR SW @ NELSON ST SW,,,,,,,
18449,101168,101168,MARTIN L KING JR DR @ JAMES P BRAWLEY  DR SW,,,,,,,
18450,101446,101446,MARTIN L KING JR DR @ GRIFFIN ST,,,,,,,
18451,101448,101448,MARTIN L KING JR DR NW @ SUNSET AVE NW,,,,,,,
18452,101460,101460,MCDANIEL ST @ WHITEHALL ST,,,,,,,
18453,101464,101464,MARTIN L KING JR DR NW @ JAMES P BRAWLEY DR NW,,,,,,,
18454,101466,101466,MARTIN L KING JR DR NW @ JOSEPH E LOWERY BLVD NW,,,,,,,
18455,101468,101468,W END AVE @ LEE ST,,,,,,,
18456,102004,102004,MARTIN L KING JR DR @ FORSYTH ST SW,,,,,,,
18457,102005,102005,MEMORIAL DR SE @ FRASER ST SE,,,,,,,
18458,102006,102006,MEMORIAL DR SE @ MARTIN ST SE,,,,,,,
18459,102007,102007,MEMORIAL DR SE @ CONNALLY ST SE,,,,,,,
18460,102009,102009,MEMORIAL DR SE @ HILL ST SE,,,,,,,
18461,102011,102011,HILL ST SE @ WOODWARD AVE SE,,,,,,,
18462,102022,102022,PEACHTREE ST SW @ MITCHELL ST SW,,,,,,,
18463,102026,102026,PRYOR ST SW@MEMORIAL DR SW,,,,,,,
18464,102028,102028,PRYOR ST SW @ GARNETT ST SW,,,,,,,
18465,102030,102030,PRYOR ST SW @ TRINITY AVE SW,,,,,,,
18466,102032,102032,PRYOR ST @ MARTIN L KING JR DR,,,,,,,
18467,102042,102042,DECATUR ST SE @ PEACHTREE CENTER AVE,,,,,,,
18468,102044,102044,DECATUR ST SE @ COLLINS ST SE,,,,,,,
18469,102046,102046,DECATUR ST @ PIEDMONT AVE,,,,,,,
18470,102051,102051,JESSE HILL JR DR SE @ DECATUR ST SE,,,,,,,
18471,102052,102052,PRYOR ST SW@ALICE ST SW,,,,,,,
18472,102053,102053,PRYOR ST SW@FULTON ST SW,,,,,,,
18473,102054,102054,CENTRAL AVE SW@ALICE ST SW,,,,,,,
18474,102056,102056,CENTRAL AVE SW@PULLIAM ST SW,,,,,,,
18475,102058,102058,CENTRAL AVE SW@TRINITY AVE SW,,,,,,,
18476,102060,102060,CENTRAL AVE SW@MITCHELL ST SW,,,,,,,
18477,102062,102062,MARTIN LUTHER KING J DR SW @ PRYOR ST,,,,,,,
18478,102074,102074,FORSYTH ST SW @ TRINITY AVE SW,,,,,,,
18479,102078,102078,TRINITY AVE SW @ TED TURNER DR SW,,,,,,,
18480,102110,102110,WINDSOR ST SW@EUGENIA ST SW,,,,,,,
18481,102112,102112,WINDSOR ST SW@FULTON ST SW,,,,,,,
18482,102124,102124,AUBURN AVE NE @ PIEDMONT AVE NE,,,,,,,
18483,102148,102148,MITCHELL ST SW @ PRYOR ST SW,,,,,,,
18484,102150,102150,CAPITOL SQ SW @ CAPITOL PL SW,,,,,,,
18485,102152,102152,MARTIN L KING J DR @ COURTLAND ST,,,,,,,
18486,102156,102156,MARTIN L KING JR DR @ PEACHTREE ST,,,,,,,
18487,102170,102170,DECATUR ST SE @ PIEDMONT AVE SE,,,,,,,
18488,102172,102172,DECATUR ST SE @ BELL ST SE,,,,,,,
18489,102173,102173,DECATUR ST SE @ JESSE HILL JR DR SE,,,,,,,
18490,102174,102174,DECATUR ST SE @ PRATT ST SE,,,,,,,
18491,102178,102178,EDGEWOOD AVE SE @ COURTLAND ST SE,,,,,,,
18492,102180,102180,EDGEWOOD AVE @ PEACHTREE CENTER AVE,,,,,,,
18493,102222,102222,WINDSOR ST SW @ EUGENIA ST SW,,,,,,,
18494,102224,102224,WINDSOR ST SW@FULTON ST SW,,,,,,,
18495,102226,102226,MARIETTA ST NW @ BROAD ST (FIVE POINTS STATION),,,,,,,
18496,102228,102228,DECATUR ST @ KIMBALL WAY,,,,,,,
18497,102248,102248,ALABAMA ST @ PEACHTREE ST (FIVE POINTS STATION),,,,,,,
18498,102252,102252,HANK AARON DR SE @ FULTON ST SE,,,,,,,
18499,102253,102253,CAPITOL AVE @ MEMORIAL DR,,,,,,,
18500,102258,102258,ALABAMA ST @ BROAD ST (FIVE POINTS STATION),,,,,,,
18501,102262,102262,MITCHELL ST SW @ CENTRAL AVE SW,,,,,,,
18502,102274,102274,ALABAMA ST @ FORSYTH ST (FIVE POINTS STATION),,,,,,,
18503,102282,102282,DECATUR ST SE @ COLLINS ST SE,,,,,,,
18504,102289,102289,FORSYTH ST @ ALABAMA ST (FIVE POINTS STATION),,,,,,,
